Hotel Name,Survey ID,,,
,,,,
"Metropolitian, Delhi",4zWaKD22KNGqMd1NwvX,https://www.tripadvisor.in/Hotel_Review-g304551-d301910-Reviews-The_Metropolitan_Hotel_Spa_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,,
"Meridian Plaza, Delhi",QK8AvD11vLXmeQbLJaV,https://www.tripadvisor.in/Hotel_Review-g304551-d1637855-Reviews-Hotel_Meridian_Plaza-New_Delhi_National_Capital_Territory_of_Delhi.html,,
"HHI, Varanasi",YzX84qZZ4Nr7d1WNAK9,https://www.tripadvisor.in/Hotel_Review-g297685-d601656-Reviews-Hotel_Hindusthan_International_Varanasi-Varanasi_Uttar_Pradesh.html,,
"Bridge Residence, Shimla",Dg45vKYYvDyeWN8DVaL,https://www.tripadvisor.in/Hotel_Review-g304552-d1009197-Reviews-Bridge_View_Regency-Shimla_Himachal_Pradesh.html,,
"Randhava International, Amritsar",XorNypAXjL2Jmkmlj6g,https://www.tripadvisor.in/Hotel_Review-g303884-d1404822-Reviews-Hotel_Randhawa_International-Amritsar_Punjab.html,,
"The High Walls, Mussoorie",Wm5Bv1Lb4d28lKlY4an,https://www.tripadvisor.in/Hotel_Review-g297689-d8291805-Reviews-The_High_Walls-Mussoorie_Uttarakhand.html,,
"Mile Stone 251, Jaipur",3NmVzgbMk534aoaKkOz,https://www.tripadvisor.in/Hotel_Review-g304555-d2407392-Reviews-Milestone_251-Jaipur_Rajasthan.html,,
"Avalon Taj, Agra",GMzwvyeAld2Oq8qKl62,https://www.tripadvisor.in/Hotel_Review-g297683-d7196376-Reviews-Hotel_Avalon_Taj_and_Zo_Rooms-Agra_Uttar_Pradesh.html,,
"Avion International, Mumbai",Zzemjn4dML2GqaqwMB7,https://www.tripadvisor.in/Hotel_Review-g304554-d644002-Reviews-Avion_Hotel-Mumbai_Bombay_Maharashtra.html,,
"The President, Bengaluru",Wm5Bv1Ljybmq23ezQ3n,https://www.tripadvisor.in/Hotel_Review-g297628-d677989-Reviews-The_President_Hotel-Bengaluru_Bangalore_Karnataka.html,,
"Shrusti Comforts, Bengaluru",3NmVzgb1qMNd32X6n2z,https://www.tripadvisor.in/Hotel_Review-g297628-d2201180-Reviews-Shrusti_Comfort-Bengaluru_Bangalore_Karnataka.html,,
"Dreamland, Chandigarh",GMzwvyeX5AMj2ZkgJZ2,https://www.tripadvisor.in/Hotel_Review-g3592214-d6499106-Reviews-Hotel_Dreamland_Chandigarh-Manimajra_Chandigarh.html,,
"Turquoise, Chandigarh",Zzemjn4QYdzr23Dl5M7,https://www.tripadvisor.in/Hotel_Review-g297596-d5031080-Reviews-Hotel_Turquoise_Chandigarh-Chandigarh.html,,
"Village Line in Resort, Chail",MAlWv7XzpjAQ2akdJLa,https://www.tripadvisor.in/Hotel_Review-g777777-d4272023-Reviews-Village_Live_In_Resort-Chail_Himachal_Pradesh.html,,
"Royal Villas, Bhopal",naY5OJLwmepQDwAwYM2,https://www.tripadvisor.in/Hotel_Review-g319726-d3694098-Reviews-Hotel_Royal_Villas-Bhopal_Madhya_Pradesh.html,,
"Vestin Park, Chennai",KKlqvMdJOyLX2J3JlZq,https://www.tripadvisor.in/Hotel_Review-g304556-d734798-Reviews-Vestin_Park-Chennai_Madras_Tamil_Nadu.html,,
"Park Inn, Kolkata",m8jDrJOXm71egXdXjAz,https://www.tripadvisor.in/Hotel_Review-g304558-d609575-Reviews-Hotel_Park_Inn-Kolkata_Calcutta_West_Bengal.html,,
"Victeracce International, Kolkata",9BJyvdAzYDokmzezJwY,https://www.tripadvisor.in/Hotel_Review-g304558-d734961-Reviews-Hotel_Victerrace_International-Kolkata_Calcutta_West_Bengal.html,,
"Pong View, Dharamshala",epzjXJwVW2xkw5kqqy9,https://www.tripadvisor.in/Hotel_Review-g319724-d1157949-Reviews-Pong_View_Hotel-Dharamsala_Himachal_Pradesh.html,,
"Marina Daurada, Goa",wrxWyJowQplkoVkggqW,https://www.tripadvisor.in/Hotel_Review-g312680-d528422-Reviews-Resorte_Marinha_Dourada-Arpora_Goa.html,,
"Goveia Holiday, Goa",r8adKJygYbWkyVkMMbQ,https://www.tripadvisor.in/Hotel_Review-g297605-d1156233-Reviews-Goveia_Holiday_Homes-Candolim_Bardez_Goa.html,,
"M hotel, Mcleodganj",l5xgWJrY37aVrqVzz7m,https://www.tripadvisor.in/Hotel_Review-g1092107-d3175522-Reviews-M_Hotel_Restaurant-McLeod_Ganj_Dharamsala_Himachal_Pradesh.html,,
"Rudra Plaza, Dwarka",epzjXJKz3xoMGDW35K9,https://www.tripadvisor.in/Hotel_Review-g660182-d3965815-Reviews-Hotel_Rudra_Plaza-Dwarka_Gujarat.html,,
"Manor Backwater Resort, Kumarkom",7jl96XXK3YgOOQ369NL,https://www.tripadvisor.in/Hotel_Review-g678552-d1587400-Reviews-Manor_Backwater_Resort-Kumarakom_Kerala.html,,
"Saubhagya Inn, Lucknow",XorNyppkYV844XYyN2j,https://www.tripadvisor.in/Hotel_Review-g297684-d3228708-Reviews-Saubhagya_Inn-Lucknow_Uttar_Pradesh.html,,
"Valerian, Manali",Wm5Bv11KxkMyybxvB2d,https://www.tripadvisor.in/Hotel_Review-g297618-d7076667-Reviews-Hotel_The_Valerian-Manali_Himachal_Pradesh.html,,
"Nishita Resort, Manali",3NmVzggox9vqqMxzV3Z,https://www.tripadvisor.in/Hotel_Review-g297618-d1585579-Reviews-Nishita_Resorts-Manali_Himachal_Pradesh.html,,
"Travellers Inn, Mumbai",GMzwvyy8rnp55Arvw2W,https://www.tripadvisor.in/Hotel_Review-g304554-d1135603-Reviews-Hotel_Travellers_Inn-Mumbai_Bombay_Maharashtra.html,,
"Leisure Inn, Munnar",ZzemjnnaoJ7YYdojm28,https://www.tripadvisor.in/Hotel_Review-g303881-d1404593-Reviews-Le_Celestium-Munnar_Kerala.html,,
"Cozy Tree Rooms, Noida",MAlWv774rxBppjrvW9D,https://www.tripadvisor.in/Hotel_Review-g644043-d9756184-Reviews-Cosy_Tree-Noida_Uttar_Pradesh.html,,
"Sara Villas, Mandawa",3NmVzggje2Ap5ybYoqZ,https://www.tripadvisor.in/Hotel_Review-g1162333-d1158201-Reviews-Sara_Vilas_Hotel-Mandawa_Rajasthan.html,,
"Sahara, Pune",GMzwvyy43ZbVdWeL85W,https://www.tripadvisor.in/Hotel_Review-g297654-d1965724-Reviews-Sahara_Hotel-Pune_Maharashtra.html,,
"Savera, Patna",ZzemjnnWb3KkLg41aY8,https://www.tripadvisor.in/Hotel_Review-g297592-d8444088-Reviews-Savera_Business_Luxury_Hotel-Patna_Bihar.html,,
"Amaris, Rishikesh",MAlWv77emaO8oKXY4jD,https://www.tripadvisor.in/Hotel_Review-g580106-d2306397-Reviews-Hotel_The_Amaris-Rishikesh_Uttarakhand.html,,
"Divine Resort and Spa, Rishikesh",naY5OJ6gV1Wj7gnGdrL,https://www.tripadvisor.in/Hotel_Review-g580106-d1149843-Reviews-Divine_Resort-Rishikesh_Uttarakhand.html,,
"Temple View, Shirdi",KKlqvMA96BQkY9o1p5N,https://www.tripadvisor.in/Hotel_Review-g679021-d6888953-Reviews-The_Temple_View_Hotel-Shirdi_Maharashtra.html,,
"Grand Sultan, Srinagar",m8jDrJlQVZz4oQqbwW1,https://www.tripadvisor.in/Hotel_Review-g297623-d3946633-Reviews-Hotel_Grand_Sultan-Srinagar_Kashmir_Jammu_and_Kashmir.html,,
"Imperial, Ujjain",9BJyvd7GZx3n4GQpVgJ,https://www.tripadvisor.in/Hotel_Review-g679024-d4368048-Reviews-Hotel_Imperial-Ujjain_Madhya_Pradesh.html,,
"Golf View Suncity, Gurgaon",epzjXJXd7ke43QWQYew,https://www.tripadvisor.in/Hotel_Review-g297615-d4310642-Reviews-Hotel_Golf_View_Suites-Gurgaon_Haryana.html,,
"The Clover, Gurgaon",wrxWyJyXAk5naKQKb5e,https://www.tripadvisor.in/Hotel_Review-g297615-d1653182-Reviews-The_Clover-Gurgaon_Haryana.html,,
"Atithi, Ahmedabad",r8adKJKlnk7wQrYre7r,https://www.tripadvisor.in/Hotel_Review-g297608-d3193181-Reviews-Hotel_Atithi-Ahmedabad_Gujarat.html,,
"BKR Grand, Ooty",l5xgWJWZXVyQGd3dDKx,https://www.tripadvisor.in/Hotel_Review-g297679-d1178909-Reviews-Ooty_Gate_Hotel-Ooty_Tamil_Nadu.html,,
"PSR, Tirupati",kLyQnJnAbkXeDwKwgBz,https://www.tripadvisor.in/Hotel_Review-g297587-d3405391-Reviews-PSR_Hometel-Tirupati_Andhra_Pradesh.html,,
"Khandwa Haveli, Jaipur",vO8nBJB5LkDqAzezbY4,https://www.tripadvisor.in/Hotel_Review-g304555-d734823-Reviews-Treebo_Khandwa_Haveli-Jaipur_Rajasthan.html,,
"Corebett River Creek, Corbett",r8adKJK6MKO4wXb2p8r,https://www.tripadvisor.in/Hotel_Review-g3581633-d3665036-Reviews-Corbett_River_Creek_Resort_and_Spa-Marchula_Jim_Corbett_National_Park_Uttarakhand.html,,
"Ashoka, Mount Abu",Wm5Bv1VbDp4MKKXQVo3,https://www.tripadvisor.in/Hotel_Review-g679012-d3173785-Reviews-Hotel_Ashoka-Mount_Abu_Rajasthan.html,,
"Continental Resort, Kasauli",xLOr4JdzqdYMnN5DqX4,https://www.tripadvisor.in/Hotel_Review-g1152631-d8710972-Reviews-Hotel_Kasauli_Continental_Resort-Kasauli_Himachal_Pradesh.html,,
"Le Cresent, Ghaziabad",7jl96XwAmwDa8kqzmgN,https://www.tripadvisor.in/Hotel_Review-g1062901-d3368120-Reviews-Le_Crescent-Ghaziabad_Uttar_Pradesh.html,,
"Abhay Palace, Ghaziabad",XorNypZMKZzW93d1Kl8,https://www.tripadvisor.in/Hotel_Review-g1062901-d3177171-Reviews-Hotel_Abhay_Palace-Ghaziabad_Uttar_Pradesh.html,,